wmpid,full_name,opponents,opponent_names
WMPID2950,Conor Halbleib,WMPID267,Hal Rogers|Conor Halbleib
WMPID5112,Maurice Randall Cravens,WMPID271|WMPID4140,Andy Barr|Maurice Randall Cravens|Geoffrey Young
WMPID4948,Katie Darling Darling,WMPID273,Steve Scalise|Katie Darling Darling
WMPID3568,Troy Sr. Carter,WMPID4994,Troy Sr. Carter|Daniel Anthony Lux
WMPID4994,Daniel Anthony Lux,WMPID3568,Troy Sr. Carter|Daniel Anthony Lux
WMPID3837,Dustin Granger,WMPID3131|WMPID4934|WMPID4943|WMPID5068|WMPID982|WMPID4997,Dustin Granger|Jacob Lewis Shaheen|Tia Marie Lebrun|Thomas Lane Jr Payne|Holden Hoggatt|Clay Higgins|Guy Mclendon
WMPID3131,Jacob Lewis Shaheen,WMPID3837|WMPID4934|WMPID4943|WMPID5068|WMPID982|WMPID4997,Dustin Granger|Jacob Lewis Shaheen|Tia Marie Lebrun|Thomas Lane Jr Payne|Holden Hoggatt|Clay Higgins|Guy Mclendon
WMPID4934,Tia Marie Lebrun,WMPID3837|WMPID3131|WMPID4943|WMPID5068|WMPID982|WMPID4997,Dustin Granger|Jacob Lewis Shaheen|Tia Marie Lebrun|Thomas Lane Jr Payne|Holden Hoggatt|Clay Higgins|Guy Mclendon
WMPID4943,Thomas Lane Jr Payne,WMPID3837|WMPID3131|WMPID4934|WMPID5068|WMPID982|WMPID4997,Dustin Granger|Jacob Lewis Shaheen|Tia Marie Lebrun|Thomas Lane Jr Payne|Holden Hoggatt|Clay Higgins|Guy Mclendon
WMPID5068,Holden Hoggatt,WMPID3837|WMPID3131|WMPID4934|WMPID4943|WMPID982|WMPID4997,Dustin Granger|Jacob Lewis Shaheen|Tia Marie Lebrun|Thomas Lane Jr Payne|Holden Hoggatt|Clay Higgins|Guy Mclendon
WMPID3885,Brandon Sandage,WMPID983,Brandon Sandage|Mike Johnson
WMPID3927,Julia Letlow,WMPID3163|WMPID5049|WMPID5093,John Robert Badger|Julia Letlow|Hunter Pullen|Walter Earl Huff
WMPID5049,Hunter Pullen,WMPID3163|WMPID3927|WMPID5093,John Robert Badger|Julia Letlow|Hunter Pullen|Walter Earl Huff
WMPID5093,Walter Earl Huff,WMPID3163|WMPID3927|WMPID5049,John Robert Badger|Julia Letlow|Hunter Pullen|Walter Earl Huff
WMPID4180,Jaqueline Yvonne Blaney,WMPID5043|WMPID4990|WMPID889,Jaqueline Yvonne Blaney|Brian Belzer|Rufus Craig|Garret Graves
WMPID5043,Brian Belzer,WMPID4180|WMPID4990|WMPID889,Jaqueline Yvonne Blaney|Brian Belzer|Rufus Craig|Garret Graves
WMPID4990,Rufus Craig,WMPID4180|WMPID5043|WMPID889,Jaqueline Yvonne Blaney|Brian Belzer|Rufus Craig|Garret Graves
WMPID4290,Dean Martilli,WMPID1139,Dean Martilli|Richard E Neal
WMPID2095,Louis Marino,WMPID3437|WMPID1913|WMPID890,Louis Marino|Jeff Sossa-Paquette|Nicholas Barassi|James P McGovern
WMPID3437,Jeff Sossa-Paquette,WMPID2095|WMPID1913|WMPID890,Louis Marino|Jeff Sossa-Paquette|Nicholas Barassi|James P McGovern
WMPID1913,Nicholas Barassi,WMPID2095|WMPID3437|WMPID890,Louis Marino|Jeff Sossa-Paquette|Nicholas Barassi|James P McGovern
WMPID2476,Dean Tran,WMPID4480|WMPID1140,Dean Tran|Miranda Tozier-Robbins|Lori Trahan
WMPID4480,Miranda Tozier-Robbins,WMPID2476|WMPID1140,Dean Tran|Miranda Tozier-Robbins|Lori Trahan
WMPID2104,Emily Burns,WMPID295|WMPID301|WMPID5076,Jake Auchincloss|Julie Hall|Emily Burns|David Cannata
WMPID5076,David Cannata,WMPID295|WMPID301|WMPID2104,Jake Auchincloss|Julie Hall|Emily Burns|David Cannata
WMPID3865,Washington Gavin Blask,WMPID891,Washington Gavin Blask|Katherine Clark
WMPID2814,Robert May,WMPID2406|WMPID892,Robert May|Mark Tashjian|Seth Moulton
