cand_fec,first_name,last_name,female
H8PA04116, Madeleine,Dean,TRUE
H8PA05279, Thaddeus,Kirkland,FALSE
H8PA07184, Ashley,Lunkenheimer,TRUE
H8PA07200, Mary Gay,Scanlon,TRUE
H8PA06087, Chrissy,Houlahan,TRUE
H8PA15229, Susan,Wild,TRUE
H2PA17079, Matt,Cartwright,FALSE
H8PA17050, John,Chrin,FALSE
H8PA11103, Joe,Peters,FALSE
H8PA10147, Dan,Meuser,FALSE
H8PA11095, Denny,Wolff,FALSE
H8PA10204, Eric,Ding,FALSE
H2PA04135, Scott,Perry,FALSE
H8PA04090, George,Scott,FALSE
H8PA16078, Jessica,King,TRUE
H6PA16320, Lloyd,Smucker,FALSE
H8PA05204, Marc,Friedenberg,FALSE
H0PA10078, Tom,Marino,FALSE
H8PA11061, Stephen,Bloom,FALSE
H8PA09024, John,Eichelberger,FALSE
H4PA09056, Art,Halvorson,FALSE
H8PA13125, John,Joyce,FALSE
H8PA18199, Guy,Reschenthaler,FALSE
H8PA18231, Rick,Saccone,FALSE
H8PA05071, Glenn,Thompson,FALSE
H4PA21069, Ron,Dinicola,FALSE
H0PA03271, Mike,Kelly,FALSE
H8PA18181, Conor,Lamb,FALSE
H0PA04220, Keith,Rothfus,FALSE
H8SC01124, Katie,Arrington,TRUE
H8SC01116, Joe,Cunningham,FALSE
H4SC01073, Mark,Sanford,FALSE
H8SC04342, Lee,Bright,FALSE
H8SC04375, Stephen,Brown,FALSE
H8SC04276, Dan,Hamilton,FALSE
H8SC04250, William,Timmons,FALSE
H8SC05109, Tom,Mullikin,FALSE
H8SC05158, Ralph,Norman,FALSE
H8SC05174, Archie,Parnell,FALSE
H8SC07055, Bill,Hopkins,FALSE
H2SC07066, Tom,Rice,FALSE
H8SD01097, Tim,Bjorkman,FALSE
H8SD01055, Dusty,Johnson,FALSE
H8SD01063, Shantel,Krebs,TRUE
H8SD00024, Neal,Tapio,FALSE
H6TN01388, Phil,Roe,FALSE
H8TN02119, Tim,Burchett,FALSE
H8TN02200, Jason,Emert,FALSE
H8TN02176, Renee,Hoyos,TRUE
H8TN02127, Jimmy,Matlock,FALSE
H8TN03208, Danielle,Mitchell,TRUE
H8TN06094, John,Rose,FALSE
H8TN07076, Mark,Green,FALSE
H6TN08169, George,Flinn,FALSE
H2TN07103, David,Kustoff,FALSE
H2TX01062, Shirley,Mckellar,TRUE
H8TX02141, Kathaleen,Wall,TRUE
H8TX03123, Van,Taylor,FALSE
H0TX07055, John,Culberson,FALSE
H8TX07140, Lizzie Pannill,Fletcher,TRUE
H8TX07116, Laura,Moser,TRUE
H8TX07124, Alex,Triantaphyllis,FALSE
H8TX07132, Jason,Westin,FALSE
H4TX09095, Al,Green,FALSE
H8TX14138, Levy,Barnes,FALSE
H8TX16109, Veronica,Escobar,TRUE
H8TX16083, Dori,Fenenbock,TRUE
H8TX16125, Alia,Garcia-Ureste,TRUE
H8TX16091, Enrique,Garcia,FALSE
H0TX17104, Bill,Flores,FALSE
H8TX17149, Rick,Kennedy,FALSE
H8TX21331, Mauro,Garza,FALSE
H8TX21190, Joseph,Kopser,FALSE
H8TX21307, Chip,Roy,FALSE
H8TX23147, Jay,Hulings,FALSE
H0TX23086, Will,Hurd,FALSE
H8TX23121, Gina Ortiz,Jones,TRUE
H2TX33040, Roger,Williams,FALSE
H8TX27072, Bech,Bruun,FALSE
H8TX27049, Michael,Cloud,FALSE
H0TX27038, James,Duerr,FALSE
H8TX27056, Eric,Holguin,FALSE
H8TX27080, Chris,Mapp,FALSE
H8TX27130, Marty,Perez,FALSE
H8TX29086, Tahir,Javed,FALSE
H2TX30079, Barbara Mallory,Caraway,TRUE
H2TX31044, John,Carter,FALSE
H8TX31058, Mj,Hegar,TRUE
H8TX32098, Colin,Allred,FALSE
H8TX32106, Ed,Meier,FALSE
H8TX32122, George,Rodriguez,FALSE
H2TX03126, Pete,Sessions,FALSE
H6TX34031, Rey,Gonzalez,FALSE
H8UT03139, Kathie,Allen,TRUE
H8UT03238, John,Curtis,FALSE
H8UT03253, Chris,Herrod,FALSE
H2UT04023, Mia,Love,TRUE
H8UT04053, Ben,Mcadams,FALSE
H8VA01147, Rob,Wittman,FALSE
H8VA02111, Elaine,Luria,TRUE
H0VA02118, Scott,Taylor,FALSE
H8VA05155, Leslie,Cockburn,TRUE
H8VA05171, Denver,Riggleman,FALSE
H8VA06104, Ben,Cline,FALSE
H8VA06138, Jennifer,Lewis,TRUE
H4VA07143, Dave,Brat,FALSE
H8VA07094, Abigail,Spanberger,TRUE
H8VA07086, Dan,Ward,FALSE
H8VA09066, Anthony,Flaccavento,FALSE
H0VA09055, Morgan,Griffith,FALSE
H4VA10089, Barbara,Comstock,TRUE
H8VA10122, Alison,Friedman,TRUE
H8VA11070, Jeff,Dove,FALSE
H8VT01065, Anya,Tynio,TRUE
H8WA03198, Carolyn,Long,TRUE
H8WA05193, Lisa,Brown,TRUE
H4WA05077, Cathy,Mcmorris-Rodgers,TRUE
H8WA08163, Jason,Rittereiser,FALSE
H8WA08205, Dino,Rossi,FALSE
H6WA09025, Adam,Smith,FALSE
H8WI01123, Randy,Bryce,FALSE
H8WI01131, Cathy,Myers,TRUE
H8WI01156, Bryan,Steil,FALSE
H4WI06048, Glenn,Grothman,FALSE
H8WI06098, Dan,Kohl,FALSE
H6WI08155, Mike,Gallagher,FALSE
H8WI08045, Beau,Liegeois,FALSE
H8WV02115, Talley,Sergent,TRUE
H8WV03105, Conrad,Lucas,FALSE
H8WV03097, Carol,Miller,TRUE
H8WV03048, Richard,Ojeda,FALSE
H8WV03055, Rupie,Phillips,FALSE
S8AL00381, Mo,Brooks,FALSE
S8AL00340, Roy,Moore,FALSE
S8AL00415, Trip,Pittman,FALSE
S8AL00308, Luther,Strange,FALSE
S8AZ00221, Martha,Mcsally,TRUE
S8AZ00197, Kyrsten,Sinema,TRUE
S0CA00199, Dianne,Feinstein,TRUE
S2CT00132, Chris,Murphy,FALSE
S8FL00166, Bill,Nelson,FALSE
S8FL00273, Rick,Scott,FALSE
S2HI00106, Mazie,Hirono,TRUE
S8IN00171, Mike,Braun,FALSE
S2IN00091, Joe,Donnelly,FALSE
S8IN00163, Luke,Messer,FALSE
S8IN00189, Todd,Rokita,FALSE
S6MD03177, Ben,Cardin,FALSE
S8MD00302, Neal,Simon,FALSE
S2ME00109, Angus,King,FALSE
S8MI00372, John,James,FALSE
S8MI00414, Sandy,Pensler,FALSE
S8MI00281, Debbie,Stabenow,TRUE
S6MN00267, Amy,Klobuchar,TRUE
S8MN00578, Tina,Smith,TRUE
S6MO00305, Claire,Mccaskill,TRUE
S8MS00261, Cindy,Hyde-Smith,TRUE
S8MS00196, Roger,Wicker,FALSE
S8MT00218, Troy,Downing,FALSE
S8MT00275, Russ,Fagg,FALSE
S8MT00234, Matt,Rosendale,FALSE
S6MT00162, Jon,Tester,FALSE
S8ND00120, Kevin,Cramer,FALSE
S2ND00099, Heidi,Heitkamp,TRUE
S2NE00094, Deb,Fischer,TRUE
S8NE00190, Jack,Heidel,FALSE
S8NE00216, Chris,Janicek,FALSE
S8NE00141, Larry,Marvin,FALSE
S8NE00182, Jane,Raybould,TRUE
S8NJ00509, Bob,Hugin,FALSE
S6NJ00289, Bob,Menendez,FALSE
S2NM00088, Martin,Heinrich,FALSE
S2NV00183, Dean,Heller,FALSE
S8NV00156, Jacky,Rosen,TRUE
S6OH00163, Sherrod,Brown,FALSE
S8OH00086, Mike,Gibbons,FALSE
S8OH00102, Jim,Renacci,FALSE
S8PA00320, Lou,Barletta,FALSE
S6PA00217, Bob,Casey,FALSE
S6RI00221, Sheldon,Whitehouse,FALSE
S8TN00337, Marsha,Blackburn,TRUE
S8TN00386, Phil,Bredesen,FALSE
