candidate,fec_id,office
Bob Cohen,H8NY19280,U.S. House
Bob Gibbs,H0OH18077,U.S. House
Bob Good,H0VA05160,U.S. House
Bob Lancia,H0RI02287,U.S. House
Bob Stevenson,H0UT01163,U.S. House
Bob Walsh,S0NM00132,U.S. Senate
Bob White,H0OK04216,U.S. House
Bob Worthen,H0TX04235,U.S. House
Bobby L Rush,H2IL01042,U.S. House
Bobby Lyons,H0TN09103,U.S. House
Bobby Scott,H6VA01117,U.S. House
Bonnie Coleman,H4NJ12149,U.S. House
Brad Barron,S0KY00396,U.S. Senate
Brad Schneider,H2IL10068,U.S. House
Brad Sherman,H6CA24113,U.S. House
Brad Svenson,H8MN02087,U.S. House
Brad Wenstrup,H2OH02085,U.S. House
Bradley Heinz,H0IL10385,U.S. House
Brandon Lape,H0OH07146,U.S. House
Brandon Leleux,H0LA03182,U.S. House
Brandon Martin,H0AZ02190,U.S. House
Brandon Rashad Lewis,H0TX36021,U.S. House
Braylon Harris,H0LA03190,U.S. House
Brenda Lawrence,H2MI14111,U.S. House
Brendan Boyle,H4PA13199,U.S. House
Brett Guthrie,H8KY02031,U.S. House
Brian Babin,H6TX02079,U.S. House
Brian Boeving,H0IL12118,U.S. House
Brian Fitzpatrick,H6PA08277,U.S. House
Brian Flowers,H0MS02082,U.S. House
Brian M Higgins,H4NY27076,U.S. House
Brian Maryott,H8CA49108,U.S. House
Brian Mast,H6FL18097,U.S. House
Brian Slowinski,S0GA00633,U.S. Senate
Brian W. Kelly,H0NY07118,U.S. House
Brianna Wu,H8MA08170,U.S. House
Brody Pierrottie,H0LA05096,U.S. House
Bruce Westerman,H4AR04048,U.S. House
Bryan Berghoef,H0MI02201,U.S. House
Bryan Steil,H8WI01156,U.S. House
Bryant 'Corky' Messner,S0NH00334,U.S. Senate
Brynne Kennedy,H0CA04175,U.S. House
Bryson Gray,H0NC06183,U.S. House
Buddy Carter,H4GA01039,U.S. House
Burgess Owens,H0UT04076,U.S. House
Buzz Patterson,H0CA07137,U.S. House
Byron Donalds,H0FL19205,U.S. House
Byron McCorriston,H0HI02247,U.S. House
Cal Cunningham,S0NC00202,U.S. Senate
Calvin Griffin,H4HI01183,U.S. House
Cameron Webb,H0VA05145,U.S. House
Candace Valenzuela,H0TX24175,U.S. House
Cande Christophe,H0LA05070,U.S. House
Carla Spalding,H0FL23090,U.S. House
Carlos Gimenez,H0FL26036,U.S. House
Carlos Santiago-Cano,H0NY12209,U.S. House
Carmelita Greco,H0MI11145,U.S. House
Carol Iannuzzi,H0TX26121,U.S. House
Carol Miller,H8WV03097,U.S. House
Caroline Colarusso,H0MA05132,U.S. House
Carolyn B Maloney,H2NY14037,U.S. House
Carolyn Bourdeaux,H8GA07201,U.S. House
Carolyn Long,H8WA03198,U.S. House
Carolyn Salter,H0TX05109,U.S. House
Casey Askar,H0FL19221,U.S. House
Casper Stockham,H0CO06101,U.S. House
Cassandra Martineau,H0CT02215,U.S. House
Catherine Kunkel,H0WV02179,U.S. House
Catherine Purcell,H0DE01082,U.S. House
Cathy Bernstein,H0NY10112,U.S. House
Cathy McMorris Rodgers,H4WA05077,U.S. House
Cedric D Jefferson,S0TX00399,U.S. Senate
Cedric Richmond,H8LA02054,U.S. House
Celeste Williams,H0AR03105,U.S. House
Chad Snider,H0TX06115,U.S. House
Chance Davis,H0TX18375,U.S. House
Charles Anthony,H8MD03165,U.S. House
